index,id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,directors,genres,language,runtime
3569,3570,A Quiet Place,2018,13+,7.5,95,FALSE,TRUE,TRUE,John Krasinski,Drama,"English,American Sign Language",90
7187,7188,A Rumor of Angels,2000,13+,6.9,34,FALSE,FALSE,TRUE,Peter O'Fallon,Drama,English,106
6659,6660,A Short History of Decay,2014,18+,5.9,67,FALSE,FALSE,TRUE,Michael Maren,Comedy,English,94
128,129,A Single Man,2009,18+,7.6,85,TRUE,FALSE,FALSE,Tom Ford,Drama,"English,Spanish",99
1061,1062,A Very Murray Christmas,2015,18+,5.5,71,TRUE,FALSE,FALSE,Sofia Coppola,Comedy,English,56
3859,3860,A Very Sordid Wedding,2017,18+,5.3,86,FALSE,TRUE,TRUE,Del Shores,Comedy,English,109
5217,5218,A Vigilante,2018,18+,5.6,92,FALSE,FALSE,TRUE,Sarah Daggar-Nickson,Crime,English,91
16476,16477,A Wrinkle in Time,2018,7+,4.2,42,FALSE,FALSE,FALSE,Ava DuVernay,Adventure,English,109
1023,1024,A-X-L,2018,13+,5.3,27,TRUE,FALSE,FALSE,Oliver Daly,Action,English,98
6098,6099,A.C.O.D.,2013,18+,5.6,52,FALSE,FALSE,TRUE,Stuart Zicherman,Comedy,English,88
7259,7260,Abattoir,2016,18+,4.4,38,FALSE,FALSE,TRUE,Darren Lynn Bousman,Horror,English,98
4029,4030,Abduction,2011,13+,5.1,5,FALSE,TRUE,TRUE,John Singleton,Action,English,106
6169,6170,About Alex,2014,18+,6.4,45,FALSE,FALSE,TRUE,Jesse Zwick,Drama,English,99
558,559,Above the Rim,1994,18+,6.6,53,TRUE,FALSE,FALSE,Jeff Pollack,Crime,English,96
6609,6610,Abundant Acreage Available,2017,7+,5.8,80,FALSE,FALSE,TRUE,Angus MacLachlan,Drama,English,80
272,273,Ace Ventura: Pet Detective,1994,13+,6.9,48,TRUE,FALSE,FALSE,Tom Shadyac,Comedy,English,86
4007,4008,Acrimony,2018,18+,5.8,17,FALSE,TRUE,TRUE,Tyler Perry,Drama,English,120
5102,5103,Across 110th Street,1972,18+,7,81,FALSE,FALSE,TRUE,Barry Shear,Action,"English,Italian",102
9160,9161,Act of God,2009,all,5.2,65,FALSE,FALSE,TRUE,Stewart Schill,Comedy,English,100
3707,3708,Active Measures,2018,13+,7.9,80,FALSE,TRUE,FALSE,Jack Bryan,Documentary,English,109
326,327,Adam Sandler: 100% Fresh,2018,18+,7.6,92,TRUE,FALSE,FALSE,"Steven Brill,Nicholaus Goossen",Comedy,English,73
16365,16366,Adventures in Babysitting,2016,all,6,100,FALSE,FALSE,FALSE,Chris Columbus,Adventure,English,102
16374,16375,African Cats,2011,all,7.6,73,FALSE,FALSE,FALSE,"Keith Scholey,Alastair Fothergill",Documentary,English,89
629,630,After,2019,13+,5.4,17,TRUE,FALSE,TRUE,Jenny Gage,Drama,English,105
4982,4983,After Tiller,2013,13+,7.5,92,FALSE,FALSE,TRUE,"Martha Shane,Lana Wilson",Documentary,English,85
9737,9738,After the Fall,2014,18+,5.1,33,FALSE,FALSE,TRUE,Bradford May,Drama,English,90
5659,5660,Afternoon Delight,2013,18+,5.7,67,FALSE,FALSE,TRUE,Jill Soloway,Comedy,English,98
7013,7014,Air,2015,13+,5.1,17,FALSE,FALSE,TRUE,Christian Cantamessa,Drama,English,95
5234,5235,Airplane II: The Sequel,1982,7+,6.2,42,FALSE,FALSE,TRUE,Ken Finkleman,Comedy,English,85
4442,4443,Airplane!,1980,7+,7.7,97,FALSE,FALSE,TRUE,"Jim Abrahams,David Zucker,Jerry Zucker",Comedy,English,88
16232,16233,Aladdin,1992,all,8,95,FALSE,FALSE,FALSE,Guy Ritchie,Adventure,"English,Arabic",128
16416,16417,Aladdin and the King of Thieves,1996,all,6.4,33,FALSE,FALSE,FALSE,Tad Stones,Animation,English,81
400,401,Alex Strangelove,2018,18+,6.3,86,TRUE,FALSE,FALSE,Craig Johnson,Comedy,English,99
5953,5954,Alex of Venice,2015,18+,5.8,74,FALSE,FALSE,TRUE,Chris Messina,Drama,English,86
867,868,Ali Wong: Hard Knock Wife,2018,18+,7.4,100,TRUE,FALSE,FALSE,Jay Karas,Comedy,English,64
5044,5045,Alice Sweet Alice,1976,18+,6.5,82,FALSE,FALSE,TRUE,Alfred Sole,Crime,English,107
16281,16282,Alice in Wonderland,1951,all,7.4,81,FALSE,FALSE,FALSE,Tim Burton,Adventure,English,108
16459,16460,Aliens of the Deep,2005,all,6.4,84,FALSE,FALSE,FALSE,"James Cameron,Steven Quale",Documentary,English,100
4806,4807,Alive Inside,2014,7+,8.2,74,FALSE,FALSE,TRUE,Michael Rossato-Bennett,Documentary,English,78
748,749,All About Nina,2018,18+,6,86,TRUE,FALSE,FALSE,Eva Vives,Comedy,English,97
753,754,All Day and a Night,2020,18+,5.9,53,TRUE,FALSE,FALSE,Joe Robert Cole,Drama,English,121
1814,1815,All I Wish,2018,18+,5.1,18,TRUE,FALSE,FALSE,Susan Walter,Comedy,English,94
3947,3948,All Square,2018,18+,5.8,91,FALSE,TRUE,FALSE,John Hyams,Drama,English,93
6880,6881,All Summers End,2017,16+,6,20,FALSE,FALSE,TRUE,Kyle Wilamowski,Drama,English,90
5655,5656,All This Panic,2017,16+,6.8,94,FALSE,FALSE,TRUE,Jenny Gage,Documentary,English,79
1172,1173,All the Boys Love Mandy Lane,2008,18+,5.5,43,TRUE,FALSE,FALSE,Jonathan Levine,Horror,English,90
483,484,All the Bright Places,2020,18+,6.5,68,TRUE,FALSE,FALSE,Brett Haley,Drama,English,107
9805,9806,All's Faire in Love,2009,13+,5,7,FALSE,FALSE,TRUE,Scott Marshall,Comedy,English,104
6569,6570,Almost Friends,2017,18+,5.9,29,FALSE,FALSE,TRUE,Jake Goldberger,Comedy,English,101
5691,5692,Almost Sunrise,2017,13+,7.6,90,FALSE,FALSE,TRUE,Michael Collins,Documentary,English,98
6879,6880,Almost an Angel,1990,7+,5.6,29,FALSE,FALSE,TRUE,John Cornell,Comedy,English,95
4190,4191,Along Came the Devil,2018,16+,3.9,38,FALSE,TRUE,FALSE,Jason DeVan,Drama,English,89
184,185,Always Be My Maybe,2019,13+,6.8,89,TRUE,FALSE,FALSE,Nahnatchka Khan,Comedy,English,101
6243,6244,America The Beautiful,2008,18+,6.9,72,FALSE,FALSE,TRUE,Greydon Clark,Drama,English,82
16618,16619,America's Heart and Soul,2004,7+,5.1,50,FALSE,FALSE,FALSE,Louie Schwartzberg,Documentary,English,84
1444,1445,American Anarchist,2016,18+,5.8,67,TRUE,FALSE,FALSE,Charlie Siskel,Documentary,English,80
563,564,American Assassin,2017,18+,6.2,35,TRUE,FALSE,FALSE,Michael Cuesta,Action,"English,Spanish,Arabic,Polish,Turkish,Russian,Italian,Persian",112
1217,1218,American Circumcision,2017,16+,7.3,60,TRUE,FALSE,FALSE,Brendon Marotta,Documentary,English,101
234,235,American Factory,2019,16+,7.4,97,TRUE,FALSE,FALSE,"Steven Bognar,Julia Reichert",Documentary,"English,Mandarin",110
4044,4045,American Folk,2018,7+,6.1,76,FALSE,TRUE,TRUE,David Heinz,Drama,English,99
5190,5191,American Gigolo,1980,18+,6.2,68,FALSE,FALSE,TRUE,Paul Schrader,Crime,"English,Swedish,French,German",117
4186,4187,American Gun,2005,18+,6.1,39,FALSE,TRUE,FALSE,Aric Avelino,Drama,English,95
6587,6588,American Teacher,2011,all,6.8,67,FALSE,FALSE,TRUE,"Vanessa Roth,Brian McGinn",Documentary,English,81
9541,9542,Amnesiac,2015,18+,4.3,27,FALSE,FALSE,TRUE,Michael Polish,Drama,English,90
7153,7154,An American Affair,2008,18+,6.2,16,FALSE,FALSE,TRUE,William Olsson,Drama,English,93
7830,7831,An American Carol,2008,13+,4.1,13,FALSE,FALSE,TRUE,David Zucker,Comedy,English,83
4921,4922,An American Crime,2007,18+,7.3,38,FALSE,FALSE,TRUE,Tommy O'Haver,Biography,English,98
7833,7834,Anastasia,1997,all,5.5,85,FALSE,FALSE,TRUE,"Don Bluth,Gary Goldman",Animation,"English,Russian,French",94
4068,4069,And So It Goes,2014,13+,5.8,18,FALSE,TRUE,FALSE,Rob Reiner,Comedy,English,94
7046,7047,And While We Were Here,2013,18+,5.8,43,FALSE,FALSE,TRUE,Kat Coiro,Drama,English,83
4582,4583,And the Band Played On,1993,13+,7.8,100,FALSE,FALSE,TRUE,Roger Spottiswoode,Drama,"English,French,Danish",141
226,227,Angel Has Fallen,2019,18+,6.4,39,TRUE,FALSE,FALSE,Ric Roman Waugh,Action,English,121
5141,5142,Animal Factory,2000,18+,6.6,82,FALSE,FALSE,TRUE,Steve Buscemi,Crime,English,94
6588,6589,Another Happy Day,2011,18+,6.1,44,FALSE,FALSE,TRUE,Sam Levinson,Comedy,English,119
16248,16249,Ant-Man,2015,13+,7.3,83,FALSE,FALSE,FALSE,Peyton Reed,Action,English,117
60,61,Ant-Man and the Wasp,2018,13+,7.1,88,TRUE,FALSE,FALSE,Peyton Reed,Action,"English,Spanish",118
1340,1341,Anthony Jeselnik: Fire in the Maternity Ward,2019,18+,7,80,TRUE,FALSE,FALSE,Marcus Raboy,Comedy,English,64
3664,3665,Antz,1998,7+,6.5,93,FALSE,TRUE,FALSE,"Eric Darnell,Tim Johnson",Animation,English,83
3590,3591,Apollo 11,2019,all,8.2,99,FALSE,TRUE,FALSE,Todd Douglas Miller,Documentary,English,93
7347,7348,Are You Here,2013,18+,5.3,8,FALSE,FALSE,TRUE,Matthew Weiner,Comedy,English,114
6241,6242,Art & Copy,2009,7+,6.8,57,FALSE,FALSE,TRUE,Doug Pray,Documentary,English,89
6053,6054,Art School Confidential,2006,18+,6.3,36,FALSE,FALSE,TRUE,Terry Zwigoff,Comedy,English,102
7326,7327,Arthur Newman,2012,18+,5.7,20,FALSE,FALSE,TRUE,Dante Ariola,Drama,English,93
6635,6636,Article 99,1992,18+,6.1,43,FALSE,FALSE,TRUE,Howard Deutch,Drama,English,100
893,894,"As Above, So Below",2014,18+,6.2,26,TRUE,FALSE,FALSE,John Erick Dowdle,Horror,"English,French,Latin",93
61,62,As Good as It Gets,1997,13+,7.7,85,TRUE,FALSE,FALSE,James L. Brooks,Comedy,English,139
7025,7026,As I Lay Dying,2013,18+,5.4,38,FALSE,FALSE,TRUE,James Franco,Drama,English,110
8404,8405,Ash Wednesday,2002,18+,5.9,10,FALSE,FALSE,TRUE,Larry Peerce,Drama,English,99
5682,5683,Ashby,2015,18+,6.4,52,FALSE,FALSE,TRUE,Tony McNamara,Comedy,English,100
3826,3827,Assassination Nation,2018,18+,5.9,73,FALSE,TRUE,FALSE,Sam Levinson,Action,"English,Italian",108
6515,6516,Assaulted: Civil Rights Under Fire,2013,13+,7,60,FALSE,FALSE,TRUE,Kris Koenig,Documentary,English,79
5934,5935,At Middleton,2013,18+,6.5,61,FALSE,FALSE,TRUE,Adam Rodgers,Comedy,English,99
16350,16351,Atlantis: The Lost Empire,2001,7+,6.9,49,FALSE,FALSE,FALSE,"Gary Trousdale,Kirk Wise",Animation,"English,French,Spanish",95
6213,6214,Atlas Shrugged: Part I,2011,13+,5.6,12,FALSE,FALSE,TRUE,Paul Johansson,Drama,English,97
6856,6857,Atlas Shrugged: Part II,2012,13+,5.4,4,FALSE,FALSE,TRUE,John Putch,Drama,English,111
6577,6578,Attack of the Killer Tomatoes!,1978,7+,4.6,27,FALSE,FALSE,TRUE,John De Bello,Adventure,English,83
438,439,Austin Powers in Goldmember,2002,13+,6.2,54,TRUE,FALSE,FALSE,Jay Roach,Action,"English,Japanese,German,French",94
144,145,Austin Powers: International Man of Mystery,1997,13+,7,71,TRUE,FALSE,FALSE,Jay Roach,Adventure,English,94
253,254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52,TRUE,FALSE,FALSE,Jay Roach,Action,"English,German",95
5660,5661,Author: The JT LeRoy Story,2016,18+,7.1,78,FALSE,FALSE,TRUE,Jeff Feuerzeig,Documentary,"English,German",110
16250,16251,Avengers: Age of Ultron,2015,13+,7.3,75,FALSE,FALSE,FALSE,Joss Whedon,Action,"English,Korean",141
16216,16217,Avengers: Endgame,2019,13+,8.4,93,FALSE,FALSE,FALSE,"Anthony Russo,Joe Russo",Action,"English,Japanese,Xhosa,German",181
2,3,Avengers: Infinity War,2018,13+,8.5,84,TRUE,FALSE,FALSE,"Anthony Russo,Joe Russo",Action,English,149
8931,8932,Awful Nice,2013,18+,4.9,22,FALSE,FALSE,TRUE,Todd Sklar,Comedy,English,92
16490,16491,Babes in Toyland,1961,all,6.3,36,FALSE,FALSE,FALSE,Jack Donohue,Comedy,English,106
5069,5070,Baby Boom,1987,7+,6.2,75,FALSE,FALSE,TRUE,Charles Shyer,Comedy,English,110
3,4,Back to the Future,1985,7+,8.5,96,TRUE,FALSE,FALSE,Robert Zemeckis,Adventure,English,116
53,54,Back to the Future Part II,1989,7+,7.8,65,TRUE,FALSE,FALSE,Robert Zemeckis,Adventure,English,108
62,63,Back to the Future Part III,1990,7+,7.4,80,TRUE,FALSE,FALSE,Robert Zemeckis,Adventure,English,118
4302,4303,Backtrace,2018,18+,3.7,11,FALSE,TRUE,FALSE,Brian A. Miller,Action,English,92
6612,6613,Bad Ass,2012,18+,5.5,20,FALSE,FALSE,TRUE,Craig Moss,Action,English,90
5888,5889,Bad Blood: The Movie,2017,16+,4.2,100,FALSE,FALSE,TRUE,Tim Reis,Fantasy,English,80
196,197,Bad Boys,1995,18+,6.9,43,TRUE,FALSE,FALSE,Michael Bay,Action,English,119
331,332,Bad Boys II,2003,18+,6.6,23,TRUE,FALSE,FALSE,Michael Bay,Action,"English,Spanish,Russian",147
3784,3785,Bad Company,1972,7+,7,92,FALSE,TRUE,TRUE,Wes Craven,Horror,English,84
7455,7456,Bad Kids Go To Hell,2012,18+,4.5,44,FALSE,FALSE,TRUE,Matthew Spradlin,Comedy,English,91
6403,6404,Bad Kids of Crestview Academy,2017,18+,5.6,10,FALSE,FALSE,TRUE,Ben Browder,Action,English,100
5902,5903,Bad Milo,2013,18+,5.6,62,FALSE,FALSE,TRUE,Jacob Vaughan,Comedy,English,85
3835,3836,Bad Reputation,2018,18+,7.3,79,FALSE,TRUE,FALSE,Jim Hemphill,Drama,English,90
5107,5108,Bad Samaritan,2018,18+,6.4,53,FALSE,FALSE,TRUE,Dean Devlin,Crime,English,110
3938,3939,Ballet 422,2014,7+,6.2,87,FALSE,TRUE,FALSE,Jody Lee Lipes,Documentary,English,75
16279,16280,Bambi,1942,all,7.3,90,FALSE,FALSE,FALSE,"James Algar,Samuel Armstrong,David Hand,Graham Heid,Bill Roberts,Paul Satterfield,Norman Wright,Arthur Davis,Clyde Geronimi",Animation,English,70
16434,16435,Bambi II,2006,all,6.1,50,FALSE,FALSE,FALSE,Brian Pimental,Animation,English,75
495,496,Bandits,2001,13+,6.5,64,TRUE,FALSE,TRUE,Barry Levinson,Comedy,English,123
5671,5672,Barbershop 2: Back in Business,2004,13+,5.7,68,FALSE,FALSE,TRUE,Kevin Rodney Sullivan,Comedy,English,106
1240,1241,Barely Lethal,2015,13+,5.4,26,TRUE,FALSE,FALSE,Kyle Newman,Action,English,96
458,459,Bathtubs Over Broadway,2018,13+,7.5,100,TRUE,FALSE,FALSE,Dava Whisenant,Documentary,English,87
6207,6208,Battle Beyond the Stars,1980,7+,5.5,45,FALSE,FALSE,TRUE,"Jimmy T. Murakami,Roger Corman",Action,English,104
649,650,Battle: Los Angeles,2011,13+,5.7,36,TRUE,FALSE,FALSE,Jonathan Liebesman,Action,"English,Ukrainian",116
3788,3789,Beach Rats,2017,18+,6.4,85,FALSE,TRUE,FALSE,Eliza Hittman,Drama,English,98
9342,9343,Beast of Burden,2018,18+,3.6,25,FALSE,FALSE,TRUE,Jesper Ganslandt,Action,"English,Spanish",89
4573,4574,Beautiful Boy,2018,18+,7.3,69,FALSE,FALSE,TRUE,Felix van Groeningen,Biography,English,120
16418,16419,Because of Winn-Dixie,2005,7+,6.3,55,FALSE,FALSE,FALSE,Wayne Wang,Comedy,English,106
3768,3769,Becoming Bond,2017,18+,7.5,81,FALSE,TRUE,FALSE,Josh Greenbaum,Documentary,English,95
16342,16343,Bedknobs and Broomsticks,1971,all,7.1,65,FALSE,FALSE,FALSE,"Robert Stevenson,Ward Kimball",Animation,"English,German",117
16411,16412,Bedtime Stories,2008,7+,6,26,FALSE,FALSE,FALSE,Adam Shankman,Comedy,English,99
597,598,Before I Wake,2016,13+,6.2,61,TRUE,FALSE,FALSE,Mike Flanagan,Drama,English,97
16309,16310,Before the Flood,2016,7+,8.3,74,FALSE,FALSE,FALSE,Fisher Stevens,Documentary,English,96
4616,4617,Behind the Candelabra,2013,18+,7,95,FALSE,FALSE,TRUE,Steven Soderbergh,Biography,English,118
541,542,Behind the Curve,2018,16+,6.5,89,TRUE,FALSE,FALSE,Daniel J. Clark,Documentary,English,96
4737,4738,Behind the Mask: The Rise of Leslie Vernon,2006,18+,6.7,76,FALSE,FALSE,TRUE,Scott Glosserman,Comedy,English,92
335,336,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,95,TRUE,FALSE,FALSE,"Constance Marks,Philip Shane",Documentary,English,80
11793,11794,Bela Lugosi Meets a Brooklyn Gorilla,1952,all,3.7,29,FALSE,FALSE,TRUE,William Beaudine,Comedy,English,74
16565,16566,Belle's Magical World,1998,all,5.4,17,FALSE,FALSE,FALSE,"Bob Kline,Cullen Blaine,Dale Case,Daniel de la Vega,Barbara Dourmaskin-Case,Rick Leon,Burt Medall,Mitch Rochon",Animation,English,92
5269,5270,Bellflower,2011,18+,6.4,73,FALSE,FALSE,TRUE,Evan Glodell,Action,English,106
3730,3731,Ben Is Back,2018,18+,6.7,82,FALSE,TRUE,FALSE,Peter Hedges,Drama,English,103
8577,8578,Beneath,2013,18+,3.7,33,FALSE,FALSE,TRUE,Larry Fessenden,Horror,English,90
4344,4345,Beneath the Darkness,2012,18+,4.5,4,FALSE,TRUE,TRUE,"Barbara Peeters,Jimmy T. Murakami",Horror,English,80
16477,16478,Benji the Hunted,1987,all,6.3,50,FALSE,FALSE,FALSE,Joe Camp,Adventure,English,88
8479,8480,Benji: Off the Leash!,2004,7+,5,33,FALSE,FALSE,TRUE,Joe Camp,Drama,English,97
4593,4594,Bernie,2012,13+,6.8,88,FALSE,FALSE,TRUE,Richard Linklater,Biography,English,99
3703,3704,Best of Enemies,2015,18+,7.6,93,FALSE,TRUE,FALSE,"Robert Gordon,Morgan Neville",Documentary,English,87
852,853,Bethany Hamilton: Unstoppable,2019,7+,7.3,71,TRUE,FALSE,FALSE,Aaron Lieber,Documentary,English,100
8592,8593,Between Love & Goodbye,2009,18+,5.7,33,FALSE,FALSE,TRUE,Casper Andreas,Drama,"English,French",97
643,644,Between Two Ferns: The Movie,2019,18+,6.1,77,TRUE,FALSE,FALSE,Scott Aukerman,Comedy,English,82
3973,3974,Beyond the Gates,2016,13+,5.2,83,FALSE,TRUE,FALSE,Jackson Stewart,Adventure,English,84
424,425,Beyond the Mat,1999,18+,7.6,82,TRUE,FALSE,FALSE,Barry W. Blaustein,Documentary,English,102
6496,6497,Bickford Shmeckler's Cool Ideas,2006,18+,5.7,50,FALSE,FALSE,TRUE,Scott Lew,Comedy,English,79
6001,6002,Big Ass Spider!,2013,13+,5.3,78,FALSE,FALSE,TRUE,Mike Mendez,Action,English,80
6104,6105,Big Bad Mama,1974,18+,5.8,71,FALSE,FALSE,TRUE,Steve Carver,Action,English,84
16432,16433,Big Business,1988,7+,6.4,44,FALSE,FALSE,FALSE,Jim Abrahams,Comedy,"English,Italian",97
5116,5117,Big Eden,2000,13+,7.3,65,FALSE,FALSE,TRUE,Thomas Bezucha,Comedy,English,118
5150,5151,Big Fan,2009,18+,6.7,86,FALSE,FALSE,TRUE,Robert Siegel,Comedy,English,88
16237,16238,Big Hero 6,2014,7+,7.8,89,FALSE,FALSE,FALSE,"Don Hall,Chris Williams",Animation,English,102
1808,1809,Big Kill,2018,18+,5.3,22,TRUE,FALSE,FALSE,Scott Martin,Action,English,126
4589,4590,Big Night,1996,18+,7.3,96,FALSE,FALSE,TRUE,"Campbell Scott,Stanley Tucci",Drama,"English,Italian",109
3690,3691,Big Time Adolescence,2020,18+,7,84,FALSE,TRUE,FALSE,Jason Orley,Comedy,English,91
606,607,"Bikram: Yogi, Guru, Predator",2019,18+,6.7,96,TRUE,FALSE,FALSE,Eva Orner,Documentary,English,86
4903,4904,Bill & Ted's Bogus Journey,1991,7+,6.3,54,FALSE,FALSE,TRUE,Peter Hewitt,Adventure,"English,Italian,Russian",93
141,142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100,TRUE,FALSE,FALSE,Jay Karas,Comedy,English,80
6656,6657,Bio-Dome,1996,13+,4.5,4,FALSE,FALSE,TRUE,Jason Bloom,Comedy,English,88
200,201,Bird Box,2018,18+,6.6,63,TRUE,FALSE,FALSE,Susanne Bier,Drama,English,124
4689,4690,Birdy,1984,18+,7.3,85,FALSE,FALSE,TRUE,Alan Parker,Drama,English,120
